area_ratio,color_mean_overall,solidity,circularity,extent,aspect_ratio,eccentricity,num_convexity_defects,max_defect_depth_norm,dist_from_center_norm,grad_mean,idx
0.041912468112244895,0.713586688041687,0.9795516136979552,0.8361291112529571,0.7487758945386064,1.3111111111111111,0.674629331884244,23,0.0031567267017256584,0.24989089101911707,0.6354255080223083,0
0.026128029336734693,0.22346781194210052,0.9797887000459348,0.8885766573720609,0.739085239085239,1.054054054054054,0.45318013093727455,13,0.0029964241739036525,0.2129323421388633,0.38753703236579895,1
0.041673309948979595,0.04757316783070564,0.9750906892382104,0.8163072208016285,0.7314949201741655,1.0192307692307692,0.5172354689473766,25,0.003995232231871536,0.20117466110442153,0.26165762543678284,2
0.023477359693877552,0.9213151335716248,0.9424216765453006,0.5615163119612689,0.45465686274509803,1.0625,0.9386574762329766,12,0.00945784914149836,0.3052290028837538,0.3711662292480469,3
0.03647161989795918,0.8380398750305176,0.9803403755868545,0.7905510700460762,0.7138888888888889,1.5384615384615385,0.8186495480058269,26,0.0025895023725093294,0.12076744585080189,0.5894036293029785,4
0.0205875318877551,0.7001773715019226,0.9542036910457963,0.7508417504553295,0.7064777327935222,1.4615384615384615,0.7774633489393109,14,0.0046857661978740245,0.23983540367438314,0.8727917671203613,5
0.021723533163265307,0.8113880157470703,0.9698216735253772,0.7377317253597389,0.6386630532971996,1.5185185185185186,0.8685834948202766,17,0.0025895023725093294,0.3410660467358468,0.4062156081199646,6
0.04177295918367347,0.1271650791168213,0.984750581545619,0.8897909961075535,0.7470588235294118,1.02,0.46913297681410526,24,0.0024785236994017868,0.3289758826269493,0.49971985816955566,7
0.016362404336734693,0.7629948854446411,0.9604666234607907,0.7051794830541116,0.6627906976744186,1.6538461538461537,0.8795175733572328,12,0.007114966042561348,0.15704221252056033,0.36879804730415344,8
0.024294483418367346,0.7981846928596497,0.981549815498155,0.8282777955912117,0.6873385012919897,1.1944444444444444,0.7726162006468899,16,0.002293559244222549,0.17435796449817836,0.3647346794605255,9
0.027403539540816327,0.7560739517211914,0.9795221843003413,0.6602715168803124,0.5104166666666666,1.170731707317073,0.9205663188684082,15,0.002293559244222549,0.35595776734688067,0.45891842246055603,10
0.05199697066326531,0.7279528975486755,0.9423828125,0.7460692509068071,0.6701388888888888,1.0,0.5594153542695399,18,0.020888652471575255,0.2600095239657665,0.3948569893836975,11
0.02702487244897959,0.06266007572412491,0.8271649299317283,0.4868265617005742,0.5099689853788214,1.6486486486486487,0.8794505831021863,14,0.03217148423750876,0.18485741791477414,0.4298829436302185,12
0.021464445153061226,0.16439345479011536,0.8604255319148936,0.5472378889553929,0.576068376068376,1.1538461538461537,0.5945149687521744,16,0.02656089576373855,0.337384777393116,0.3589794635772705,13
0.019770408163265307,0.15964417159557343,0.924901185770751,0.6644021043049322,0.7272727272727273,1.1818181818181819,0.5617783675065733,12,0.015783633508628294,0.12391719359099614,0.3639771044254303,14
